Iterations,Precision,F1-Score,Precision (amount),F1-Score (amount),Precision (queryObject),F1-Score (queryObject),Precision (region),F1-Score (region),Precision (regionStart),F1-Score (regionStart),Precision (regionEnd),F1-Score (regionEnd)
1,0.9397905759162304,0.9547872340425533,0.9615384615384616,0.9803921568627451,0.9423076923076923,0.9607843137254902,0.9285714285714286,0.9285714285714286,0.0,0.0,1.0,1.0
2,0.9862637362637363,0.9782016348773842,1.0,0.9932885906040269,0.9657534246575342,0.9527027027027025,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9291139240506329,0.9594771241830066,0.9316770186335404,0.9646302250803859,0.9085365853658537,0.9490445859872612,1.0,0.9818181818181818,1.0,1.0,0.8333333333333334,0.9090909090909091
4,0.9503916449086162,0.9667994687915007,1.0,0.9932885906040269,0.9090909090909091,0.9523809523809523,1.0,0.962962962962963,1.0,1.0,0.7142857142857143,0.8333333333333333
5,0.952755905511811,0.9667110519307589,1.0,0.9966555183946488,0.9197530864197531,0.9551282051282051,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
6,0.9654255319148937,0.9731903485254693,1.0,0.9864864864864865,0.93125,0.9612903225806452,1.0,0.9818181818181818,1.0,1.0,0.8333333333333334,0.9090909090909091
7,0.9605263157894737,0.9733333333333333,0.9933774834437086,0.9966777408637874,0.9433962264150944,0.970873786407767,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
8,0.9576719576719577,0.9679144385026738,1.0,0.98989898989899,0.9316770186335404,0.9646302250803859,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
9,0.967741935483871,0.9703504043126685,0.9931972789115646,0.9831649831649831,0.9612903225806452,0.9770491803278689,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
10,0.9681697612732095,0.9772423025435074,1.0,1.0,0.9554140127388535,0.9771986970684039,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
11,0.9578947368421052,0.9706666666666667,1.0,0.9966555183946488,0.9316770186335404,0.9646302250803859,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
12,0.9477806788511749,0.9641434262948207,1.0,0.9932885906040269,0.9090909090909091,0.9523809523809523,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
13,0.968,0.974496644295302,1.0,0.9932885906040269,0.9554140127388535,0.9771986970684039,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
14,0.9601063829787234,0.967828418230563,0.9932885906040269,0.9899665551839465,0.961038961038961,0.9736842105263157,1.0,0.9532710280373832,0.5714285714285714,0.7272727272727273,0.6666666666666666,0.8
15,0.978494623655914,0.981132075471698,1.0,1.0,0.9802631578947368,0.9867549668874172,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
16,0.9864864864864865,0.9864864864864865,1.0,1.0,1.0,1.0,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
17,0.9811827956989247,0.9838274932614555,0.9868421052631579,0.9933774834437086,1.0,1.0,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
18,0.9891891891891892,0.9891891891891892,1.0,1.0,1.0,1.0,1.0,0.962962962962963,1.0,1.0,0.7142857142857143,0.8333333333333333
19,0.8257918552036199,0.8990147783251231,0.974025974025974,0.9868421052631579,0.9433962264150944,0.970873786407767,1.0,0.9532710280373832,0.21052631578947367,0.34782608695652173,0.1694915254237288,0.2898550724637681
20,0.9864864864864865,0.9864864864864865,1.0,1.0,1.0,1.0,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
30,0.9455958549222798,0.9656084656084656,0.9375,0.967741935483871,0.9615384615384616,0.9803921568627451,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
40,0.9707446808510638,0.9785522788203753,1.0,1.0,0.9615384615384616,0.9803921568627451,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
50,0.9864864864864865,0.9864864864864865,1.0,1.0,1.0,1.0,1.0,0.9532710280373832,1.0,1.0,0.6666666666666666,0.8
